route,file,instruction_source,instruction_anchor_found,copy_match_status,notes
/roles/coo,app/roles/coo/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/esg-lead,app/roles/esg-lead/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/facilities,app/roles/facilities/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/fire-safety-lead,app/roles/fire-safety-lead/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/roles/security-head,app/roles/security-head/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/sectors,app/sectors/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/sectors/[slug],app/sectors/[slug]/page.tsx,site_full_audit,false,NO_SOURCE_IN_DOC,"No matching section anchor found in instruction doc via heuristics; may still exist under different naming."
/sectors/hub,app/sectors/hub/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/solutions/fireguard,app/solutions/fireguard/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/solutions/hub,app/solutions/hub/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
/solutions/insurelink,app/solutions/insurelink/page.tsx,site_full_audit,true,NEEDS_REVIEW,"Instruction doc contains a section for this page (anchor found). Verify copy/structure vs implementation."
